NCT Number,Phases_NCT,PMID
NCT02054806,Phase 1,28813164
NCT02054806,Phase 1,28489510
NCT02054806,Phase 1,28453692
NCT02054806,Phase 1,28291584
NCT02054806,Phase 1,32359091
NCT02054806,Phase 1,30522700
NCT01848834,Phase 1,29284202
NCT01848834,Phase 1,28081914
NCT01848834,Phase 1,27247226
NCT01848834,Phase 1,27157491
NCT01848834,Phase 1,27138582
NCT01848834,Phase 1,31395089
NCT01848834,Phase 1,27646946
NCT02007070,Phase 1,30618179
NCT02132754,Phase 1,33355238
NCT02553499,Phase 1,32809217
NCT02862457,Phase 1,32564277
NCT02622074,Phase 1,32278621
NCT02303990,Phase 1,30318516
NCT02318771,Phase 1,29632720
NCT02318771,Phase 1,27663515
NCT03792347,Phase 1,33373868
NCT02621398,Phase 1,32077891
NCT02595866,Phase 1,31154457
NCT02560636,Phase 1,30012528
NCT02586207,Phase 1,32479189
NCT02402920,Phase 1,31605794
NCT04118868,Phase 1,33072126
NCT02324582,Phase 1,31320352
NCT02313272,Phase 1,32605050
NCT01953692,Phase 1,32556281
NCT01953692,Phase 1,31609651
NCT01953692,Phase 1,28490569
NCT01953692,Phase 1,27354476
NCT01953692,Phase 1,31395089
NCT01953692,Phase 1,30937889
NCT02443324,Phase 1,33068794
NCT02443324,Phase 1,31301962
NCT02443324,Phase 1,29853658
NCT02179918,Phase 1,28634283
NCT03003676,Phase 1,30713786
NCT02133742,Phase 1,29439857
NCT02133742,Phase 1,32816890
NCT02499835,Phase 1|Phase 2,30700328
NCT03444376,Phase 1|Phase 2,33271094
NCT02331251,Phase 1|Phase 2,29119276
NCT02089685,Phase 1|Phase 2,28729151
NCT02089685,Phase 1|Phase 2,29358500
NCT02089685,Phase 1|Phase 2,32605909
NCT02713529,Phase 1|Phase 2,33046621
NCT02348008,Phase 1|Phase 2,32097091
NCT02437136,Phase 1|Phase 2,33203644
NCT02538510,Phase 1|Phase 2,31796519
NCT02444741,Phase 1|Phase 2,33051340
NCT02444741,Phase 1|Phase 2,33096027
NCT02888665,Phase 1|Phase 2,32910151
NCT02657889,Phase 1|Phase 2,32193378
NCT02657889,Phase 1|Phase 2,31194228
NCT02657889,Phase 1|Phase 2,31194225
NCT02843204,Phase 1|Phase 2,32027620
NCT02689284,Phase 1|Phase 2,32653053
NCT02129556,Phase 1|Phase 2,30765258
NCT02521870,Phase 1|Phase 2,30154193
NCT02130466,Phase 1|Phase 2,31171879
NCT02130466,Phase 1|Phase 2,31171878
NCT02332668,Phase 1|Phase 2,31812554
NCT02039674,Phase 1|Phase 2,33069888
NCT02039674,Phase 1|Phase 2,32914866
NCT02039674,Phase 1|Phase 2,30529597
NCT02039674,Phase 1|Phase 2,30429032
NCT02039674,Phase 1|Phase 2,30138764
NCT02039674,Phase 1|Phase 2,27745820
NCT03278665,Phase 1|Phase 2,31703604
NCT02289222,Phase 1|Phase 2,28461396
NCT02500121,Phase 2,32271672
NCT03157089,Phase 2,30808583
NCT02644369,Phase 2,33554038
NCT03192059,Phase 2,31138229
NCT02883556,Phase 2,32730186
NCT01704287,Phase 2,28961465
NCT01704287,Phase 2,27596353
NCT01704287,Phase 2,26115796
NCT01704287,Phase 2,33360855
NCT01704287,Phase 2,32305010
NCT01704287,Phase 2,31395089
NCT01704287,Phase 2,30736858
NCT01704287,Phase 2,30202085
NCT02447003,Phase 2,30475950
NCT02447003,Phase 2,30475947
NCT02447003,Phase 2,27138582
NCT02559687,Phase 2,30570649
NCT02576990,Phase 2,31609651
NCT02453594,Phase 2,31409671
NCT02453594,Phase 2,31012356
NCT02453594,Phase 2,28441111
NCT02453594,Phase 2,31395089
NCT02787005,Phase 2,31774688
NCT02335424,Phase 2,32423837
NCT02335424,Phase 2,28967485
NCT02335424,Phase 2,32552471
NCT02335424,Phase 2,31395089
NCT02628067,Phase 2,32919526
NCT02628067,Phase 2,32359091
NCT02628067,Phase 2,31980466
NCT02628067,Phase 2,30943124
NCT02628067,Phase 2,31682550
NCT03284424,Phase 2,32673170
NCT02460198,Phase 2,31725351
NCT02460198,Phase 2,31395089
NCT02702414,Phase 2,29875066
NCT03382899,Phase 2,33166722
NCT01876511,Phase 2,31439614
NCT01876511,Phase 2,26028255
NCT02255097,Phase 2,31395089
NCT03515798,Phase 2,33330051
NCT02826486,Phase 2,32451495
NCT02673333,Phase 2,31644329
NCT02301039,Phase 2,30249211
NCT02301039,Phase 2,28988646
NCT03382600,Phase 2,32145474
NCT02395627,Phase 2,32681091
NCT04435197,Phase 2,33373868
NCT02954536,Phase 2,32487035
NCT02954536,Phase 2,32437664
NCT02316002,Phase 2,31294762
NCT02331368,Phase 2,30959163
NCT03087019,Phase 2,32781104
NCT02243579,Phase 2,31532724
