NCT Number,Phases_NCT,PMID
NCT00494871,3_0,23229461
NCT00494871,3_0,22664783
NCT02128841,2_0,31837559
NCT02833948,3_0,31733182
NCT04263038,4_0,33444199
NCT03775746,4_0,31872349
NCT02387229,3_0,31376908
NCT02642419,4_0,31475793
NCT03273322,3_0,32674675
NCT01812200,4_0,25211369
NCT00403767,3_0,32323192
NCT00403767,3_0,31376090
NCT00403767,3_0,30219887
NCT00403767,3_0,28615214
NCT00403767,3_0,28433206
NCT00403767,3_0,27358435
NCT00403767,3_0,26955859
NCT00403767,3_0,26888572
NCT00403767,3_0,26673560
NCT00403767,3_0,25749644
NCT00403767,3_0,25736441
NCT00403767,3_0,24552831
NCT00403767,3_0,24315894
NCT00403767,3_0,23778903
NCT00403767,3_0,23723250
NCT00403767,3_0,23525418
NCT00403767,3_0,23500298
NCT00403767,3_0,23212720
NCT00403767,3_0,22402056
NCT00403767,3_0,21830957
NCT00403767,3_0,30371223
NCT00403767,3_0,29898836
NCT00403767,3_0,28477860
NCT00403767,3_0,28264892
NCT00403767,3_0,26386791
NCT00403767,3_0,24668660
NCT00403767,3_0,20211293
NCT00809965,3_0,29976285
NCT00809965,3_0,23602776
NCT00809965,3_0,23500262
NCT00809965,3_0,22077192
NCT00809965,3_0,25318481
NCT00809965,3_0,21570509
NCT01400646,1_0,25475601
NCT02555878,3_0,32663379
NCT02555878,3_0,30786186
NCT02555878,3_0,28933799
NCT02555878,3_0,33337539
NCT02293395,2_0,31141104
NCT02293395,2_0,28325638
NCT02293395,2_0,26995378
NCT01877915,3_0,32171760
NCT01877915,3_0,31461239
NCT01877915,3_0,31017637
NCT01877915,3_0,30146935
NCT02111564,3_0,32586587
NCT02111564,3_0,30145946
NCT02111564,3_0,31975354
NCT02220725,3_0,26559317
NCT01729871,3_0,25975659
NCT01830543,3_0,31707805
NCT01830543,3_0,30704287
NCT01830543,3_0,29943350
NCT01830543,3_0,29550085
NCT01830543,3_0,27959713
NCT01830543,3_0,27881555
NCT01830543,3_0,25819853
NCT01830543,3_0,30015064
NCT02716038,2_0,33209626
NCT02921269,2_0,33004542
NCT01035255,3_0,32021227
NCT01035255,3_0,29617523
NCT01035255,3_0,28784687
NCT01035255,3_0,27908347
NCT01035255,3_0,27842179
